date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency,naik/turun
2022-06-28T00:00:00,4070,4010,4010,4050,4000,4030,-40,112506000,4.52E+11,12951,2117.9,4030,1297700,4020,482500,99062216600,99062216600,47401270643,95941200,63479600,,13906292,56151496480,18,Turun
2022-06-29T00:00:00,4030,4000,4000,4080,4000,4040,10,56878700,2.30E+11,7565,2123.1,4050,73200,4040,87500,99062216600,99062216600,47401270643,35255200,33602800,,327,1319620,13,Naik
2022-06-30T00:00:00,4040,4110,4090,4110,4000,4000,-40,116718900,4.72E+11,11037,2102.1,4010,1800,4000,1770500,99062216600,99062216600,47401270643,85017000,79527100,,7464972,30179009712,27,Turun
2022-07-01T00:00:00,4000,4010,4010,4040,4000,4020,20,39572500,1.59E+11,8597,2112.6,4020,253000,4010,99700,99062216600,99062216600,47401270643,28670900,23808500,,650596,2615402003,17,Naik
2022-07-04T00:00:00,4020,4020,4020,4040,3840,3990,-30,115885200,4.57E+11,18376,2096.9,3990,481500,3980,10900,99062216600,99062216600,47401270643,73480400,55131200,,13093209,52231568698,18,Turun
2022-07-05T00:00:00,3990,4010,4010,4070,3950,3990,0,72329600,2.91E+11,13019,2096.9,4000,1000,3990,208200,99062216600,99062216600,47401270643,42209200,34563500,,583209,2347519730,11,Turun
2022-07-06T00:00:00,3990,4050,4040,4050,3970,4020,30,62679000,2.51E+11,8917,2112.6,4020,456500,4010,39100,99062216600,99062216600,47401270643,45725000,42997500,,202,807530,9,Naik
2022-07-07T00:00:00,4020,4040,4040,4050,4010,4040,20,42393800,1.71E+11,6469,2123.1,4040,838100,4030,18600,99062216600,99062216600,47401270643,30297400,29243200,,164608,661282945,15,Naik
2022-07-08T00:00:00,4040,4050,4060,4060,4000,4010,-30,64049000,2.57E+11,8766,2107.4,4010,559600,4000,2209800,99062216600,99062216600,47401270643,44121700,52633900,,7762142,31199253040,16,Turun
2022-07-11T00:00:00,4010,4100,4060,4100,4000,4040,30,42258000,1.71E+11,6639,2123.1,4040,956800,4030,6000,99062216600,99062216600,47401270643,23985300,32033300,,2064387,8291785885,13,Naik
2022-07-12T00:00:00,4040,4060,4060,4060,4010,4010,-30,43399800,1.75E+11,6232,2107.4,4030,820700,4010,6801000,99062216600,99062216600,47401270643,33568600,38430800,,5521324,22165186080,8,Turun
2022-07-13T00:00:00,4010,4010,4010,4030,3930,3940,-70,96218200,3.82E+11,13656,2070.6,3950,54400,3940,412100,99062216600,99062216600,47401270643,72969200,62874900,,42290,169082980,18,Turun
2022-07-14T00:00:00,3940,3940,3930,4020,3900,4020,80,68708500,2.74E+11,9668,2112.6,4020,602200,4000,12200,99062216600,99062216600,47401270643,47822700,58656500,,19368552,77301488830,9,Naik
2022-07-15T00:00:00,4020,4040,4040,4210,4010,4150,130,146093800,6.05E+11,20103,2180.9,4150,1771400,4140,19900,99062216600,99062216600,47401270643,49113600,124781700,,16457802,67736380505,12,Naik
2022-07-18T00:00:00,4150,4110,4120,4190,4070,4190,40,84009400,3.47E+11,10354,2202,4190,4955600,4160,100,99062216600,99062216600,47401270643,50669900,55305800,,46259848,1.92E+11,11,Naik
2022-07-19T00:00:00,4190,4190,4180,4190,4130,4160,-30,91367900,3.81E+11,7929,2186.2,4170,225500,4160,360500,99062216600,99062216600,47401270643,64927900,70766900,,15714579,65448180570,17,Turun
2022-07-20T00:00:00,4160,4140,4150,4220,4140,4210,50,82344000,3.46E+11,10151,2212.5,4210,56600,4200,36000,99062216600,99062216600,47401270643,36898600,39929100,,4710584,19831551760,9,Naik
2022-07-21T00:00:00,4210,4210,4210,4260,4180,4260,50,107234600,4.53E+11,8168,2238.7,4260,8779200,4240,10000,99062216600,99062216600,47401270643,43998500,90019600,,36618435,1.54E+11,11,Naik
2022-07-22T00:00:00,4260,4240,4240,4240,4190,4230,-30,59792300,2.52E+11,7592,2223,4240,808400,4230,250800,99062216600,99062216600,47401270643,47191200,34770300,,30225134,1.27E+11,14,Turun
2022-07-25T00:00:00,4230,4240,4230,4260,4220,4240,10,37218000,1.58E+11,6084,2228.2,4240,500700,4230,12500,99062216600,99062216600,47401270643,23388700,32641500,,81667356,3.46E+11,13,Naik
2022-07-26T00:00:00,4240,4240,4240,4250,4190,4250,10,49786900,2.10E+11,6961,2233.5,4250,436400,4240,1200,99062216600,99062216600,47401270643,33951100,36407400,,12712556,53921044320,11,Naik
2022-07-27T00:00:00,4250,4230,4240,4300,4210,4300,50,60672300,2.58E+11,7035,2259.8,4300,7317000,4260,13800,99062216600,99062216600,47401270643,46109700,48974300,,7439706,31447397800,8,Naik
2022-07-28T00:00:00,4300,4310,4310,4320,4190,4240,-60,110767300,4.71E+11,11404,2228.2,4250,515100,4240,114100,99062216600,99062216600,47401270643,58894300,58020500,,44908027,1.91E+11,13,Turun
2022-07-29T00:00:00,4240,4280,4260,4300,4210,4230,-10,108823600,4.61E+11,10031,2223,4240,323300,4230,2971200,99062216600,99062216600,47401270643,56038800,91138700,,94258524,4.00E+11,24,Turun
